cids,citations,dois,expmethod,geneids,glytoucan,lignme,pclids,pdbid,pmcids,pmid,protacxns,resolution,title
312|700|14985|1117,"Aeschimann W, Staats S, Kammer S, Olieric N, Jeckelmann J, Fotiadis D, Netscher T, Rimbach G, Cascella M, Stocker A. Self-assembled a-Tocopherol Transfer Protein Nanoparticles Promote Vitamin E Delivery Across an Endothelial Barrier. Sci Rep. 2017 Jul 10;7(1). doi: 10.1038/s41598-017-05148-9.",10.1038/s41598-017-05148-9,X-RAY DIFFRACTION,7274,,ETA|SO4|CL|VIV,15506511,5MUE,PMC5504013,28694484,P49638,2.397000,Self-assembled alpha-Tocopherol Transfer Protein Nanoparticles Promote Vitamin E Delivery Across an Endothelial Barrier
312|700|14985|1117,"Aeschimann W, Staats S, Kammer S, Olieric N, Jeckelmann J, Fotiadis D, Netscher T, Rimbach G, Cascella M, Stocker A. Self-assembled a-Tocopherol Transfer Protein Nanoparticles Promote Vitamin E Delivery Across an Endothelial Barrier. Sci Rep. 2017 Jul 10;7(1). doi: 10.1038/s41598-017-05148-9.",10.1038/s41598-017-05148-9,X-RAY DIFFRACTION,7274,,ETA|SO4|CL|VIV,15506511,5MUG,PMC5504013,28694484,P49638,2.420000,Self-assembled alpha-Tocopherol Transfer Protein Nanoparticles Promote Vitamin E Delivery Across an Endothelial Barrier
32051|700,"Wei P, Song G, Shi M, Zhou Y, Liu Y, Lei J, Chen P, Yin L. Substrate analog interaction with MCR-1 offers insight into the rising threat of the plasmid-mediated transferable colistin resistance. FASEB J. 2018 Feb;32(2):1085–98. doi: 10.1096/fj.201700705r. PMID: 29079699.",10.1096/fj.201700705r,X-RAY DIFFRACTION,,,ETA|ZN,18906282,5YLE,,29079699,A0A0R6L508,1.850000,MCR-1 complex with ethanolamine (ETA)
94190|24139|4485|271|700|49864523|447078,"Zhao Y, Huang G, Wu J, Wu Q, Gao S, Yan Z, Lei J, Yan N. Molecular Basis for Ligand Modulation of a Mammalian Voltage-Gated Ca2+ Channel. Cell. 2019 May 30;177(6):1495–1506.e12. doi: 10.1016/j.cell.2019.04.043. PMID: 31150622.",10.1016/j.cell.2019.04.043,ELECTRON MICROSCOPY,100009105|100009109|100009263|100009585,G67334XY|G79924RM|G73541PI|G49108TO|G49954MA,NAG|C5U|3PE|PC1|CA|ETA,33790645,6JP5,,31150622,P13806|P19517|P19518|P07293,2.900000,Rabbit Cav1.1-Nifedipine Complex
24139|271|6603728|700|49864523,"Zhao Y, Huang G, Wu J, Wu Q, Gao S, Yan Z, Lei J, Yan N. Molecular Basis for Ligand Modulation of a Mammalian Voltage-Gated Ca2+ Channel. Cell. 2019 May 30;177(6):1495–1506.e12. doi: 10.1016/j.cell.2019.04.043. PMID: 31150622.",10.1016/j.cell.2019.04.043,ELECTRON MICROSCOPY,100009105|100009109|100009263|100009585,G49108TO|G73541PI|G67334XY|G49954MA|G88236HS|G79924RM,ETA|CA|C8U|NAG,33790645,6JP8,,31150622,P13806|P19517|P19518|P07293,2.700000,Rabbit Cav1.1-Bay K8644 Complex
94190|24139|92305|134817783|271|700|49864523|447078,"Zhao Y, Huang G, Wu J, Wu Q, Gao S, Yan Z, Lei J, Yan N. Molecular Basis for Ligand Modulation of a Mammalian Voltage-Gated Ca2+ Channel. Cell. 2019 May 30;177(6):1495–1506.e12. doi: 10.1016/j.cell.2019.04.043. PMID: 31150622.",10.1016/j.cell.2019.04.043,ELECTRON MICROSCOPY,100009105|100009109|100009263|100009585,G49108TO|G79924RM|G49954MA|G73541PI|G67334XY|G88236HS,NAG|4YH|9Z9|3PE|PC1|CA|ETA,33790645,6JPA,,31150622,P13806|P19517|P19518|P07293,2.600000,Rabbit Cav1.1-Verapamil Complex
94190|24139|271|39186|700|49864523|447078,"Zhao Y, Huang G, Wu J, Wu Q, Gao S, Yan Z, Lei J, Yan N. Molecular Basis for Ligand Modulation of a Mammalian Voltage-Gated Ca2+ Channel. Cell. 2019 May 30;177(6):1495–1506.e12. doi: 10.1016/j.cell.2019.04.043. PMID: 31150622.",10.1016/j.cell.2019.04.043,ELECTRON MICROSCOPY,100009105|100009109|100009263|100009585,G49108TO|G88236HS|G79924RM|G73541PI|G49954MA|G67334XY,C9F|NAG|3PE|PC1|CA|ETA,33790645,6JPB,,31150622,P13806|P19517|P19518|P07293,2.900000,Rabbit Cav1.1-Diltiazem Complex
271|8172|8200|17472|700|888|62551|8117,"Gabale U, Peña Palomino PA, Kim H, Chen W, Ressl S. The essential inner membrane protein YejM is a metalloenzyme. Scientific Reports. 2020 Oct 20;10(1):17794. doi: 10.1038/s41598-020-73660-6.",10.1038/s41598-020-73660-6,X-RAY DIFFRACTION,1253750,,PEG|1PE|PG4|PGE|CA|P6G|MG|ETA,23706168,6VAT,PMC7576196,33082366,P40709,2.350000,Structure of the periplasmic domain of YejM from Salmonella typhimurium
813|8172|17472|8200|700|888|174|62551|8117,"Gabale U, Peña Palomino PA, Kim H, Chen W, Ressl S. The essential inner membrane protein YejM is a metalloenzyme. Scientific Reports. 2020 Oct 20;10(1):17794. doi: 10.1038/s41598-020-73660-6.",10.1038/s41598-020-73660-6,X-RAY DIFFRACTION,1253750,,PEG|1PE|P6G|PG4|PGE|MG|K|ETA|EDO,23706168,6VC7,PMC7576196,33082366,P40709,2.050000,Structure of the F349A mutant of the periplasmic domain of YejM from Salmonella typhimurium
700|312,,,X-RAY DIFFRACTION,,,ETA|CL,,7O3O,,,P0A3G2,1.250000,"Structure of haloalkane dehalogenase mutant DhaA80(T148L, G171Q, A172V, C176F) from Rhodococcus rhodochrous with ionic liquid"
700|284,,,X-RAY DIFFRACTION,396218,,ETA|FMT,,7RZ0,,,P00698|1AT6_A|1AT5_A,1.380000,Hen egg-white lysozyme with ionic liquid ethanolammonium formate 6.7 mol%
700|284,,,X-RAY DIFFRACTION,396218,,ETA|FMT,,7RZ1,,,P00698|1AT6_A|1AT5_A,2.046000,Hen egg-white lysozyme with ionic liquid ethanolammonium formate 14.4 mol%
700|284,,,X-RAY DIFFRACTION,396218,,ETA|FMT,,7RZ2,,,P00698|1AT6_A|1AT5_A,1.070000,Hen egg-white lysozyme with ionic liquid ethanolammonium formate 4 mol%
923|312|1099|145742|700|164889254|753,,,X-RAY DIFFRACTION,,,GOL|PRO|CL|NA|SO3|ETA|1XK,,7VC3,,,,1.973000,Toxoplasma gondii Prolyl-tRNA Synthetase (TgPRS) in Complex with inhibitor L97 and L-proline at 1.97 A resolution
700,,,ELECTRON MICROSCOPY,24400|2770|281203|4988,,ETA,,8EFQ,,,P54311|P63096|3QI2_A|2G83_A|P63212|P35372,3.300000,DAMGO-bound mu-opioid receptor-Gi complex
700,,,ELECTRON MICROSCOPY,28982,,ETA,,8R8T,,,Q9Y5Y0,2.900000,Cryo-EM structure of the inward-facing ethanolamine-bound FLVCR1
65082|700,,,ELECTRON MICROSCOPY,28982,,Y01|ETA,,8UBX,,,Q9Y5Y0,2.500000,Ethanolamine-bound FLVCR1
10694305|27854|271|700|185698,,,X-RAY DIFFRACTION,,,CA|WRW|MN|ETA|MAN,,8WMG,,,P02866|1JN2_P,1.970000,Structure of ConA/Man3
27854|271|700|12378414|185698,,,X-RAY DIFFRACTION,,,CA|WU0|MN|ETA|MAN,,8WMK,,,P02866|1JN2_P,2.170000,Structure of ConA/Man2
700|312,,,X-RAY DIFFRACTION,,,ETA|CL,,9NIA,,,,1.550000,Crystal structure of Vibrio cholerae CqsR bound to ethanolamine
9322|700|813|175,,,X-RAY DIFFRACTION,,,ACT|ETA|SCN|K,,9R2L,,,,2.200000,De novo designed N37 protein fold
