action,actname,actvalue,cid,citations,cmpdname,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,refchemids,refsids,srccmpd,srccmpdurl,srctarget,srctargetname,srctargeturl,synonym,taxid,taxname
Simvastatin results in increased expression of S1PR1 mRNA,,,54454,"González-Díez M, Rodríguez C, Badimon L, Martínez-González J. Prostacyclin induction by high-density lipoprotein (HDL) in vascular smooth muscle cells depends on sphingosine 1-phosphate receptors: effect of simvastatin. Thromb Haemost. 2008 Jul;100(1):119–26. doi: 10.1160/th07-11-0675. PMID: 18612546.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:18612546,https://www.ncbi.nlm.nih.gov/pubmed/18612546,1901,S1PR1,6529749,,18612546,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1901,S1PR1,https://ctdbase.org/detail.go?type=gene&acc=1901,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in increased expression of S1PR3 mRNA,,,54454,"González-Díez M, Rodríguez C, Badimon L, Martínez-González J. Prostacyclin induction by high-density lipoprotein (HDL) in vascular smooth muscle cells depends on sphingosine 1-phosphate receptors: effect of simvastatin. Thromb Haemost. 2008 Jul;100(1):119–26. doi: 10.1160/th07-11-0675. PMID: 18612546.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:18612546,https://www.ncbi.nlm.nih.gov/pubmed/18612546,1903,S1PR3,6529749,,18612546,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1903,S1PR3,https://ctdbase.org/detail.go?type=gene&acc=1903,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in decreased expression of S1PR3 mRNA,,,54454,"Kimura T, Mogi C, Tomura H, Kuwabara A, Im DS, Sato K, Kurose H, Murakami M, Okajima F. Induction of scavenger receptor class B type I is critical for simvastatin enhancement of high-density lipoprotein-induced anti-inflammatory actions in endothelial cells. J Immunol. 2008 Nov 15;181(10):7332–40. doi: 10.4049/jimmunol.181.10.7332. PMID: 18981156.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:18981156,https://www.ncbi.nlm.nih.gov/pubmed/18981156,1903,S1PR3,22113478,,18981156,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1903,S1PR3,https://ctdbase.org/detail.go?type=gene&acc=1903,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in decreased expression of EDN1 protein|simvastatin results in decreased expression of EDN1 mRNA alternative form|mevalonic acid inhibits the reaction [simvastatin results in decreased expression of EDN1 mRNA alternative form],,,54454,"Hernández-Perera O, Pérez-Sala D, Navarro-Antolín J, Sánchez-Pascuala R, Hernández G, Díaz C, Lamas S. Effects of the 3-hydroxy-3-methylglutaryl-CoA reductase inhibitors, atorvastatin and simvastatin, on the expression of endothelin-1 and endothelial nitric oxide synthase in vascular endothelial cells. J Clin Invest. 1998 Jun 15;101(12):2711–9. PMID: 9637705; PMCID: PMC508862.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:9637705,https://www.ncbi.nlm.nih.gov/pubmed/9637705,1906,EDN1,15830324,PMC508862,9637705,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1906,EDN1,https://ctdbase.org/detail.go?type=gene&acc=1906,Simvastatin,9913,Bos taurus (cattle)
"Mevalonic acid inhibits the reaction [simvastatin inhibits the reaction [cholesterol, dietary results in increased expression of EDN1 protein]]|simvastatin inhibits the reaction [cholesterol, dietary results in increased expression of EDN1 mRNA alternative form]|mevalonic acid inhibits the reaction [simvastatin inhibits the reaction [cholesterol, dietary results in increased expression of EDN1 mRNA alternative form]]|simvastatin inhibits the reaction [cholesterol, dietary results in increased expression of EDN1 protein]",,,54454,"Lee T, Lin M, Chou T, Chang N. Effect of simvastatin on left ventricular mass in hypercholesterolemic rabbits. American Journal of Physiology-Heart and Circulatory Physiology. 2005 Mar;288(3):H1352–8. doi: 10.1152/ajpheart.00527.2003.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:15486036,https://www.ncbi.nlm.nih.gov/pubmed/15486036,1906,EDN1,23406191,,15486036,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1906,EDN1,https://ctdbase.org/detail.go?type=gene&acc=1906,Simvastatin,9986,Oryctolagus cuniculus (rabbit)
Simvastatin inhibits the reaction [monocrotaline results in increased expression of EDN1 mrna],,,54454,"Lee YH, Kim KC, Cho MS, Hong YM. Changes of pulmonary pathology and gene expressions after simvastatin treatment in the monocrotaline-induced pulmonary hypertension rat model. Korean Circ J. 2011 Sep;41(9):518–27. PMID: 22022327; PMCID: PMC3193043.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:22022327,https://www.ncbi.nlm.nih.gov/pubmed/22022327,1906,EDN1,24212117,PMC3193043,22022327,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1906,EDN1,https://ctdbase.org/detail.go?type=gene&acc=1906,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin results in decreased expression of EDN1 mRNA,,,54454,"Uchiyama T, Atsuta H, Utsugi T, Ohyama Y, Nakamura T, Nakai A, Nakata M, Maruyama I, Tomura H, Okajima F, Tomono S, Kawazu S, Nagai R, Kurarbayashi M. Simvastatin induces heat shock factor 1 in vascular endothelial cells. Atherosclerosis. 2006 Oct;188(2):265–73. doi: 10.1016/j.atherosclerosis.2005.10.045. PMID: 16375908.|Hernández-Perera O, Pérez-Sala D, Soria E, Lamas S. Involvement of Rho GTPases in the transcriptional inhibition of preproendothelin-1 gene expression by simvastatin in vascular endothelial cells. Circ Res. 2000 Sep 29;87(7):616–22. doi: 10.1161/01.res.87.7.616. PMID: 11009568.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:11009568|PMID:16375908,https://www.ncbi.nlm.nih.gov/pubmed/11009568|https://www.ncbi.nlm.nih.gov/pubmed/16375908,1906,EDN1,16547547|29473844,,11009568|16375908,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1906,EDN1,https://ctdbase.org/detail.go?type=gene&acc=1906,Simvastatin,9913,Bos taurus (cattle)
Simvastatin results in decreased expression of EDN1 mRNA,,,54454,"Tuuminen R, Syrjälä S, Krebs R, Keränen MA, Koli K, Abo-Ramadan U, Neuvonen PJ, Tikkanen JM, Nykänen AI, Lemström KB. Donor simvastatin treatment abolishes rat cardiac allograft ischemia/reperfusion injury and chronic rejection through microvascular protection. Circulation. 2011 Sep 06;124(10):1138–50. doi: 10.1161/circulationaha.110.005249. PMID: 21844074.|Liu B, Wang XM, Zhou TF, Hua YM, Liu HM, Wei L, Qiao LN, Wang XQ, Zhao SS, Shi K. [Expression of connective tissue growth factor and its down-regulation by simvastatin administration in pulmonary hypertensive rats]. Zhonghua Er Ke Za Zhi. 2008 May;46(5):359–65. PMID: 19099753.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:19099753|PMID:21844074,https://www.ncbi.nlm.nih.gov/pubmed/19099753|https://www.ncbi.nlm.nih.gov/pubmed/21844074,1906,EDN1,6586126|27525679,,19099753|21844074,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1906,EDN1,https://ctdbase.org/detail.go?type=gene&acc=1906,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin results in decreased secretion of EDN1 protein,,,54454,"Uchiyama T, Atsuta H, Utsugi T, Ohyama Y, Nakamura T, Nakai A, Nakata M, Maruyama I, Tomura H, Okajima F, Tomono S, Kawazu S, Nagai R, Kurarbayashi M. Simvastatin induces heat shock factor 1 in vascular endothelial cells. Atherosclerosis. 2006 Oct;188(2):265–73. doi: 10.1016/j.atherosclerosis.2005.10.045. PMID: 16375908.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:16375908,https://www.ncbi.nlm.nih.gov/pubmed/16375908,1906,EDN1,29473844,,16375908,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1906,EDN1,https://ctdbase.org/detail.go?type=gene&acc=1906,Simvastatin,9606,Homo sapiens (human)
Mevalonic acid inhibits the reaction [simvastatin results in decreased expression of EDN1 mrna]|simvastatin results in decreased expression of EDN1 protein|mevalonic acid inhibits the reaction [simvastatin results in decreased expression of EDN1 protein]|simvastatin results in decreased expression of EDN1 mRNA,,,54454,"Xia XQ, Cheng DY, Su QL, Chen XJ, Yang L. [Effect of simvastatin on endothelin-1 expression in endothelial cell cultured hypoxically]. Sichuan Da Xue Xue Bao Yi Xue Ban. 2008 Jan;39(1):72–5. PMID: 18390205.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:18390205,https://www.ncbi.nlm.nih.gov/pubmed/18390205,1906,EDN1,8590926,,18390205,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1906,EDN1,https://ctdbase.org/detail.go?type=gene&acc=1906,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in increased expression of and results in increased secretion of EDN1 protein,,,54454,"Butterick TA, Igbavboa U, Eckert GP, Sun GY, Weisman GA, Müller WE, Wood WG. Simvastatin Stimulates Production of the Antiapoptotic Protein Bcl-2 via Endothelin-1 and NFATc3 in SH-SY5Y Cells. Molecular Neurobiology. 2010 Apr 06;41(2-3):384–91. doi: 10.1007/s12035-010-8122-8.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:20369390,https://www.ncbi.nlm.nih.gov/pubmed/20369390,1906,EDN1,19442907,PMC3075856,20369390,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1906,EDN1,https://ctdbase.org/detail.go?type=gene&acc=1906,Simvastatin,9606,Homo sapiens (human)
Mevalonic acid inhibits the reaction [simvastatin results in decreased expression of EDN1 mrna]|geranylgeranyl pyrophosphate inhibits the reaction [simvastatin results in decreased expression of EDN1 mrna]|simvastatin inhibits the reaction [RHOA results in increased expression of EDN1 mrna],,,54454,"Hernández-Perera O, Pérez-Sala D, Soria E, Lamas S. Involvement of Rho GTPases in the transcriptional inhibition of preproendothelin-1 gene expression by simvastatin in vascular endothelial cells. Circ Res. 2000 Sep 29;87(7):616–22. doi: 10.1161/01.res.87.7.616. PMID: 11009568.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:11009568,https://www.ncbi.nlm.nih.gov/pubmed/11009568,1906,EDN1,16547547,,11009568,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1906,EDN1,https://ctdbase.org/detail.go?type=gene&acc=1906,Simvastatin,9913,Bos taurus (cattle)
Simvastatin inhibits the reaction [EDN1 protein results in increased expression of CLCN3 protein],,,54454,"Liu YJ, Wang XG, Tang YB, Chen JH, Lv XF, Zhou JG, Guan YY. Simvastatin ameliorates rat cerebrovascular remodeling during hypertension via inhibition of volume-regulated chloride channel. Hypertension. 2010 Sep;56(3):445–52. doi: 10.1161/hypertensionaha.110.150102. PMID: 20644009.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:20644009,https://www.ncbi.nlm.nih.gov/pubmed/20644009,1906,EDN1,393838,,20644009,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1906,EDN1,https://ctdbase.org/detail.go?type=gene&acc=1906,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin inhibits the reaction [dietary fats results in increased expression of EDN1 protein],,,54454,"Yang S, Liu L, Meng L, Hu X. Capsaicin is beneficial to hyperlipidemia, oxidative stress, endothelial dysfunction, and atherosclerosis in Guinea pigs fed on a high-fat diet. Chem Biol Interact. 2019 Jan 05;297():1–7. doi: 10.1016/j.cbi.2018.10.006. PMID: 30342015.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:30342015,https://www.ncbi.nlm.nih.gov/pubmed/30342015,1906,EDN1,16923679,,30342015,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1906,EDN1,https://ctdbase.org/detail.go?type=gene&acc=1906,Simvastatin,10141,Cavia porcellus (domestic guinea pig)
"Simvastatin inhibits the reaction [cholesterol, dietary results in increased expression of EDNRA mrna]|simvastatin inhibits the reaction [cholesterol, dietary results in increased expression of EDNRA protein]",,,54454,"Luo L, Zheng YF, Dai Y, Dai DZ. Hypercholesterolaemia induces early renal lesions characterized by upregulation of MMP-9 and iNOS and ET(A)R: alleviated by a dual endothelin receptor antagonist CPU0213 and simvastatin. J Pharm Pharmacol. 2009 Jun;61(6):775–80. doi: 10.1211/jpp/61.06.0010. PMID: 19505368.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:19505368,https://www.ncbi.nlm.nih.gov/pubmed/19505368,1909,EDNRA,20109388,,19505368,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1909,EDNRA,https://ctdbase.org/detail.go?type=gene&acc=1909,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin inhibits the reaction [monocrotaline results in increased expression of EDNRA mrna],,,54454,"Lee YH, Kim KC, Cho MS, Hong YM. Changes of pulmonary pathology and gene expressions after simvastatin treatment in the monocrotaline-induced pulmonary hypertension rat model. Korean Circ J. 2011 Sep;41(9):518–27. PMID: 22022327; PMCID: PMC3193043.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:22022327,https://www.ncbi.nlm.nih.gov/pubmed/22022327,1909,EDNRA,24212117,PMC3193043,22022327,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1909,EDNRA,https://ctdbase.org/detail.go?type=gene&acc=1909,Simvastatin,10116,Rattus norvegicus (Norway rat)
Mevalonic acid inhibits the reaction [simvastatin inhibits the reaction [acrolein results in increased phosphorylation of EGFR protein]]|simvastatin inhibits the reaction [acrolein results in increased phosphorylation of EGFR protein],,,54454,"Chen YJ, Chen P, Wang HX, Wang T, Chen L, Wang X, Sun BB, Liu DS, Xu D, An J, Wen FQ. Simvastatin attenuates acrolein-induced mucin production in rats: involvement of the Ras/extracellular signal-regulated kinase pathway. Int Immunopharmacol. 2010 Jun;10(6):685–93. doi: 10.1016/j.intimp.2010.03.012. PMID: 20359552.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:20359552,https://www.ncbi.nlm.nih.gov/pubmed/20359552,1956,EGFR,19433626,,20359552,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1956,EGFR,https://ctdbase.org/detail.go?type=gene&acc=1956,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin results in decreased expression of EGR1 protein,,,54454,"Bea F, Blessing E, Shelley MI, Shultz JM, Rosenfeld ME. Simvastatin inhibits expression of tissue factor in advanced atherosclerotic lesions of apolipoprotein E deficient mice independently of lipid lowering: potential role of simvastatin-mediated inhibition of Egr-1 expression and activation. Atherosclerosis. 2003 Apr;167(2):187–94. doi: 10.1016/s0021-9150(02)00387-8. PMID: 12818400.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:12818400,https://www.ncbi.nlm.nih.gov/pubmed/12818400,1958,EGR1,15887802,,12818400,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1958,EGR1,https://ctdbase.org/detail.go?type=gene&acc=1958,Simvastatin,10090,Mus musculus (house mouse)
Simvastatin results in decreased phosphorylation of EIF4EBP1 protein|mevalonic acid inhibits the reaction [simvastatin results in decreased phosphorylation of EIF4EBP1 protein]|geranylgeranyl pyrophosphate inhibits the reaction [simvastatin results in decreased phosphorylation of EIF4EBP1 protein],,,54454,"Kou R, Shiroto T, Sartoretto JL, Michel T. Suppression of Gas Synthesis by Simvastatin Treatment of Vascular Endothelial Cells. Journal of Biological Chemistry. 2012 Jan;287(4):2643–51. doi: 10.1074/jbc.m111.303594.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:22144680,https://www.ncbi.nlm.nih.gov/pubmed/22144680,1978,EIF4EBP1,15389008,PMC3268423,22144680,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1978,EIF4EBP1,https://ctdbase.org/detail.go?type=gene&acc=1978,Simvastatin,9913,Bos taurus (cattle)
IGF1 protein inhibits the reaction [simvastatin results in decreased phosphorylation of EIF4EBP1 protein],,,54454,"Bonifacio A, Sanvee GM, Brecht K, Kratschmar DV, Odermatt A, Bouitbir J, Krähenbühl S. IGF-1 prevents simvastatin-induced myotoxicity in C2C12 myotubes. Arch Toxicol. 2017 May;91(5):2223–34. doi: 10.1007/s00204-016-1871-z. PMID: 27734117.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:27734117,https://www.ncbi.nlm.nih.gov/pubmed/27734117,1978,EIF4EBP1,10767368,,27734117,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1978,EIF4EBP1,https://ctdbase.org/detail.go?type=gene&acc=1978,Simvastatin,10090,Mus musculus (house mouse)
Simvastatin results in decreased phosphorylation of EIF4EBP1 protein,,,54454,"Bonifacio A, Sanvee GM, Brecht K, Kratschmar DV, Odermatt A, Bouitbir J, Krähenbühl S. IGF-1 prevents simvastatin-induced myotoxicity in C2C12 myotubes. Arch Toxicol. 2017 May;91(5):2223–34. doi: 10.1007/s00204-016-1871-z. PMID: 27734117.|Kou R, Shiroto T, Sartoretto JL, Michel T. Suppression of Gas Synthesis by Simvastatin Treatment of Vascular Endothelial Cells. Journal of Biological Chemistry. 2012 Jan;287(4):2643–51. doi: 10.1074/jbc.m111.303594.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:22144680|PMID:27734117,https://www.ncbi.nlm.nih.gov/pubmed/22144680|https://www.ncbi.nlm.nih.gov/pubmed/27734117,1978,EIF4EBP1,10767368|15389008,PMC3268423,22144680|27734117,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,1978,EIF4EBP1,https://ctdbase.org/detail.go?type=gene&acc=1978,Simvastatin,10090,Mus musculus (house mouse)
Simvastatin affects the localization of CTTN protein|simvastatin affects the reaction [F2 affects the localization of CTTN protein],,,54454,"Jacobson JR, Dudek SM, Birukov KG, Ye SQ, Grigoryev DN, Girgis RE, Garcia JG. Cytoskeletal activation and altered gene expression in endothelial barrier regulation by simvastatin. Am J Respir Cell Mol Biol. 2004 May;30(5):662–70. doi: 10.1165/rcmb.2003-0267oc. PMID: 14630613.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:14630613,https://www.ncbi.nlm.nih.gov/pubmed/14630613,2017,CTTN,28124289,,14630613,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,2017,CTTN,https://ctdbase.org/detail.go?type=gene&acc=2017,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in decreased expression of ENO1 protein,,,54454,"Ponce J, Brea D, Carrascal M, Guirao V, Degregorio-Rocasolano N, Sobrino T, Castillo J, Dávalos A, Gasull T. The effect of simvastatin on the proteome of detergent-resistant membrane domains: decreases of specific proteins previously related to cytoskeleton regulation, calcium homeostasis and cell fate. Proteomics. 2010 May;10(10):1954–65. doi: 10.1002/pmic.200900055. PMID: 20217863.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:20217863,https://www.ncbi.nlm.nih.gov/pubmed/20217863,2023,ENO1,11997386,,20217863,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,2023,ENO1,https://ctdbase.org/detail.go?type=gene&acc=2023,Simvastatin,10116,Rattus norvegicus (Norway rat)
[hexachlorocyclohexane co-treated with aldrin co-treated with dieldrin co-treated with endrin co-treated with dichlorodiphenyl dichloroethylene co-treated with dichlorodiphenyldichloroethane co-treated with DDT co-treated with simvastatin] results in increased expression of EPHA3 mRNA,,,54454,"Rivero J, Henríquez-Hernández LA, D Boada L, Pestano J, P Luzardo O, Camacho M, Zumbado M, F Valerón P. Simvastatin down-regulates differential genetic profiles produced by organochlorine mixtures in primary breast cell (HMEC). Chem Biol Interact. 2017 Apr 25;268():85–92. doi: 10.1016/j.cbi.2017.03.001. PMID: 28263720.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:28263720,https://www.ncbi.nlm.nih.gov/pubmed/28263720,2042,EPHA3,21596920,,28263720,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,2042,EPHA3,https://ctdbase.org/detail.go?type=gene&acc=2042,Simvastatin,9606,Homo sapiens (human)
[hexachlorocyclohexane co-treated with aldrin co-treated with dieldrin co-treated with endrin co-treated with dichlorodiphenyl dichloroethylene co-treated with dichlorodiphenyldichloroethane co-treated with DDT co-treated with simvastatin] results in increased expression of EPHA8 mRNA,,,54454,"Rivero J, Henríquez-Hernández LA, D Boada L, Pestano J, P Luzardo O, Camacho M, Zumbado M, F Valerón P. Simvastatin down-regulates differential genetic profiles produced by organochlorine mixtures in primary breast cell (HMEC). Chem Biol Interact. 2017 Apr 25;268():85–92. doi: 10.1016/j.cbi.2017.03.001. PMID: 28263720.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:28263720,https://www.ncbi.nlm.nih.gov/pubmed/28263720,2046,EPHA8,21596920,,28263720,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,2046,EPHA8,https://ctdbase.org/detail.go?type=gene&acc=2046,Simvastatin,9606,Homo sapiens (human)
Simvastatin inhibits the reaction [streptozocin results in decreased expression of EPO protein]|simvastatin inhibits the reaction [streptozocin results in increased expression of EPO mrna],,,54454,"Lee SG, Kim JL, Lee HK, Ryu GW, Hur DY, Yun IH, Yang JW, Kim HW. Simvastatin suppresses expression of angiogenic factors in the retinas of rats with streptozotocin-induced diabetes. Graefe's Archive for Clinical and Experimental Ophthalmology. 2010 Sep 07;249(3):389–97. doi: 10.1007/s00417-010-1496-5.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:20821229,https://www.ncbi.nlm.nih.gov/pubmed/20821229,2056,EPO,2435431,,20821229,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,2056,EPO,https://ctdbase.org/detail.go?type=gene&acc=2056,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin inhibits the reaction [streptozocin results in increased expression of EPOR mrna]|simvastatin inhibits the reaction [streptozocin results in decreased expression of EPOR protein],,,54454,"Lee SG, Kim JL, Lee HK, Ryu GW, Hur DY, Yun IH, Yang JW, Kim HW. Simvastatin suppresses expression of angiogenic factors in the retinas of rats with streptozotocin-induced diabetes. Graefe's Archive for Clinical and Experimental Ophthalmology. 2010 Sep 07;249(3):389–97. doi: 10.1007/s00417-010-1496-5.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:20821229,https://www.ncbi.nlm.nih.gov/pubmed/20821229,2057,EPOR,2435431,,20821229,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,2057,EPOR,https://ctdbase.org/detail.go?type=gene&acc=2057,Simvastatin,10116,Rattus norvegicus (Norway rat)
,,,54454,"Sipes NS, Martin MT, Kothiya P, Reif DM, Judson RS, Richard AM, Houck KA, Dix DJ, Kavlock RJ, Knudsen TB: Profiling 976 ToxCast chemicals across 331 enzymatic and receptor signaling assays. Chem Res Toxicol. 2013 Jun 17;26(6):878-95. doi: 10.1021/tx400021f. Epub 2013 May 16.",Simvastatin,Toxin and Toxin Target Database (T3DB),PMID:23611293,https://www.ncbi.nlm.nih.gov/pubmed/23611293,2099,ESR1,5929097,PMC3685188,23611293,P03372,Estrogen receptor,6225,481107565,T3D4788,http://www.t3db.ca/toxins/T3D4788,BE0000123,Estrogen receptor,http://www.t3db.ca/biodb/bio_entities/BE0000123,Simvastatin,9606,Homo sapiens (human)
Cycloheximide inhibits the reaction [simvastatin results in decreased activity of F2 protein]|simvastatin results in decreased activity of F2 protein|simvastatin affects the reaction [F2 affects the localization of CTTN protein],,,54454,"Jacobson JR, Dudek SM, Birukov KG, Ye SQ, Grigoryev DN, Girgis RE, Garcia JG. Cytoskeletal activation and altered gene expression in endothelial barrier regulation by simvastatin. Am J Respir Cell Mol Biol. 2004 May;30(5):662–70. doi: 10.1165/rcmb.2003-0267oc. PMID: 14630613.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:14630613,https://www.ncbi.nlm.nih.gov/pubmed/14630613,2147,F2,28124289,,14630613,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,2147,F2,https://ctdbase.org/detail.go?type=gene&acc=2147,Simvastatin,9606,Homo sapiens (human)
Simvastatin inhibits the reaction [F2 protein results in decreased expression of ENTPD1 protein],,,54454,"Kaneider NC, Egger P, Dunzendorfer S, Noris P, Balduini CL, Gritti D, Ricevuti G, Wiedermann CJ. Reversal of thrombin-induced deactivation of CD39/ATPDase in endothelial cells by HMG-CoA reductase inhibition: effects on Rho-GTPase and adenosine nucleotide metabolism. Arterioscler Thromb Vasc Biol. 2002 Jun 01;22(6):894–900. doi: 10.1161/01.atv.0000018305.95943.f7. PMID: 12067895.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:12067895,https://www.ncbi.nlm.nih.gov/pubmed/12067895,2147,F2,21306992,,12067895,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,2147,F2,https://ctdbase.org/detail.go?type=gene&acc=2147,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in decreased expression of F3 mRNA,,,54454,"Aberg M, Wickström M, Siegbahn A. Simvastatin induces apoptosis in human breast cancer cells in a NFkappaB-dependent manner and abolishes the anti-apoptotic signaling of TF/FVIIa and TF/FVIIa/FXa. Thromb Res. 2008;122(2):191–202. doi: 10.1016/j.thromres.2007.09.017. PMID: 18031796.|Wei JL, Cui HM, Ma CY. Simvastatin inhibits tissue factor and plasminogen activator inhibitor-1 secretion by peripheral blood mononuclear cells in patients with primary nephrotic syndrome. Eur J Med Res. 2007 May 29;12(5):216–21. PMID: 17513194.|Hölschermann H, Hilgendorff A, Kemkes-Matthes B, Schönburg M, Bauer EP, Tillmanns H, Haberbosch W. Simvastatin attenuates vascular hypercoagulability in cardiac transplant recipients. Transplantation. 2000 May 15;69(9):1830–6. doi: 10.1097/00007890-200005150-00017. PMID: 10830219.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:10830219|PMID:17513194|PMID:18031796,https://www.ncbi.nlm.nih.gov/pubmed/10830219|https://www.ncbi.nlm.nih.gov/pubmed/17513194|https://www.ncbi.nlm.nih.gov/pubmed/18031796,2152,F3,4992550|10611027|27502473,,10830219|17513194|18031796,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,2152,F3,https://ctdbase.org/detail.go?type=gene&acc=2152,Simvastatin,9606,Homo sapiens (human)
F3 polymorphism affects the susceptibility to simvastatin,,,54454,"Undas A, Stepien E, Potaczek DP, Tracz W. Tissue factor +5466A>G polymorphism determines thrombin formation following vascular injury and thrombin-lowering effects of simvastatin in patients with ischemic heart disease. Atherosclerosis. 2009 Jun;204(2):567–72. doi: 10.1016/j.atherosclerosis.2008.10.003. PMID: 19027114.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:19027114,https://www.ncbi.nlm.nih.gov/pubmed/19027114,2152,F3,362084,,19027114,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,2152,F3,https://ctdbase.org/detail.go?type=gene&acc=2152,Simvastatin,9606,Homo sapiens (human)
